run_uuid,key,value
7fd19c7d7ceb4597a5c92ab9b7bf7e32,learning_rate,0.0001
7fd19c7d7ceb4597a5c92ab9b7bf7e32,batch_size,16
7fd19c7d7ceb4597a5c92ab9b7bf7e32,num_epochs,100
7fd19c7d7ceb4597a5c92ab9b7bf7e32,num_classes,10
7fd19c7d7ceb4597a5c92ab9b7bf7e32,preprocessing,full
7fd19c7d7ceb4597a5c92ab9b7bf7e32,training_mode,multi_task
7fd19c7d7ceb4597a5c92ab9b7bf7e32,seed,123
7fd19c7d7ceb4597a5c92ab9b7bf7e32,lambda_sex,0.3
7fd19c7d7ceb4597a5c92ab9b7bf7e32,lambda_form,0.2
7fd19c7d7ceb4597a5c92ab9b7bf7e32,num_params_M,27.53
7fd19c7d7ceb4597a5c92ab9b7bf7e32,inference_ms,16.82
ac6c42e9d08e4ab6993b394a93bb9bfe,architecture,swin_tiny
ac6c42e9d08e4ab6993b394a93bb9bfe,learning_rate,0.0001
ac6c42e9d08e4ab6993b394a93bb9bfe,batch_size,16
ac6c42e9d08e4ab6993b394a93bb9bfe,num_epochs,100
ac6c42e9d08e4ab6993b394a93bb9bfe,num_classes,10
ac6c42e9d08e4ab6993b394a93bb9bfe,preprocessing,full
ac6c42e9d08e4ab6993b394a93bb9bfe,training_mode,multi_task
ac6c42e9d08e4ab6993b394a93bb9bfe,seed,456
ac6c42e9d08e4ab6993b394a93bb9bfe,lambda_sex,0.3
ac6c42e9d08e4ab6993b394a93bb9bfe,lambda_form,0.2
ac6c42e9d08e4ab6993b394a93bb9bfe,num_params_M,27.53
ac6c42e9d08e4ab6993b394a93bb9bfe,inference_ms,19.73
1457b16aea964db6ac2e3027310cc327,architecture,swin_tiny
1457b16aea964db6ac2e3027310cc327,learning_rate,0.0001
1457b16aea964db6ac2e3027310cc327,batch_size,16
1457b16aea964db6ac2e3027310cc327,num_epochs,100
1457b16aea964db6ac2e3027310cc327,num_classes,10
1457b16aea964db6ac2e3027310cc327,preprocessing,bbox
